,author,num_pages_grp,count
0,A.B. Yehoshua,<250,0
1,A.B. Yehoshua,250-499,1
2,A.B. Yehoshua,500-749,0
3,A.B. Yehoshua,750-999,0
4,A.B. Yehoshua,>=1000,0
5,A.D.P. Briggs,<250,0
6,A.D.P. Briggs,250-499,1
7,A.D.P. Briggs,500-749,0
8,A.D.P. Briggs,750-999,0
9,A.D.P. Briggs,>=1000,0
10,A.E. Cunningham,<250,1
11,A.E. Cunningham,250-499,0
12,A.E. Cunningham,500-749,0
13,A.E. Cunningham,750-999,0
14,A.E. Cunningham,>=1000,0
15,A.J. Jacobs,<250,0
16,A.J. Jacobs,250-499,1
17,A.J. Jacobs,500-749,0
18,A.J. Jacobs,750-999,0
19,A.J. Jacobs,>=1000,0
20,A.M. Homes,<250,0
21,A.M. Homes,250-499,1
22,A.M. Homes,500-749,0
23,A.M. Homes,750-999,0
24,A.M. Homes,>=1000,0
25,A.N. Roquelaure,<250,0
26,A.N. Roquelaure,250-499,1
27,A.N. Roquelaure,500-749,0
28,A.N. Roquelaure,750-999,0
29,A.N. Roquelaure,>=1000,0
30,A.S. Byatt,<250,0
31,A.S. Byatt,250-499,1
32,A.S. Byatt,500-749,0
33,A.S. Byatt,750-999,0
34,A.S. Byatt,>=1000,0
35,Abbie Hoffman,<250,1
36,Abbie Hoffman,250-499,0
37,Abbie Hoffman,500-749,0
38,Abbie Hoffman,750-999,0
39,Abbie Hoffman,>=1000,0
40,Abdul Rahman Munif,<250,0
41,Abdul Rahman Munif,250-499,1
42,Abdul Rahman Munif,500-749,0
43,Abdul Rahman Munif,750-999,0
44,Abdul Rahman Munif,>=1000,0
45,Abigail Adams,<250,0
46,Abigail Adams,250-499,1
47,Abigail Adams,500-749,0
48,Abigail Adams,750-999,0
49,Abigail Adams,>=1000,0
50,Abigail Thomas,<250,0
51,Abigail Thomas,250-499,1
52,Abigail Thomas,500-749,0
53,Abigail Thomas,750-999,0
54,Abigail Thomas,>=1000,0
55,Abolqasem Ferdowsi,<250,1
56,Abolqasem Ferdowsi,250-499,0
57,Abolqasem Ferdowsi,500-749,0
58,Abolqasem Ferdowsi,750-999,0
59,Abolqasem Ferdowsi,>=1000,0
60,Abraham Lincoln,<250,1
61,Abraham Lincoln,250-499,0
62,Abraham Lincoln,500-749,0
63,Abraham Lincoln,750-999,0
64,Abraham Lincoln,>=1000,0
65,Adam  Sexton,<250,1
66,Adam  Sexton,250-499,0
67,Adam  Sexton,500-749,0
68,Adam  Sexton,750-999,0
69,Adam  Sexton,>=1000,0
70,Adam Drozdek,<250,0
71,Adam Drozdek,250-499,1
72,Adam Drozdek,500-749,0
73,Adam Drozdek,750-999,0
74,Adam Drozdek,>=1000,0
75,Adam Ginsberg,<250,0
76,Adam Ginsberg,250-499,1
77,Adam Ginsberg,500-749,0
78,Adam Ginsberg,750-999,0
79,Adam Ginsberg,>=1000,0
80,Adam Gopnik,<250,0
81,Adam Gopnik,250-499,1
82,Adam Gopnik,500-749,0
83,Adam Gopnik,750-999,0
84,Adam Gopnik,>=1000,0
85,Adam Hochschild,<250,1
86,Adam Hochschild,250-499,0
87,Adam Hochschild,500-749,0
88,Adam Hochschild,750-999,0
89,Adam Hochschild,>=1000,0
90,Adam Mansbach,<250,1
91,Adam Mansbach,250-499,0
92,Adam Mansbach,500-749,0
93,Adam Mansbach,750-999,0
94,Adam Mansbach,>=1000,0
95,Adam Rex,<250,0
96,Adam Rex,250-499,1
97,Adam Rex,500-749,0
98,Adam Rex,750-999,0
99,Adam Rex,>=1000,0
100,Adam Smith,<250,0
101,Adam Smith,250-499,0
102,Adam Smith,500-749,1
103,Adam Smith,750-999,0
104,Adam Smith,>=1000,0
105,Adam Swift,<250,0
106,Adam Swift,250-499,1
107,Adam Swift,500-749,0
108,Adam Swift,750-999,0
109,Adam Swift,>=1000,0
110,Adam Woog,<250,0
111,Adam Woog,250-499,1
112,Adam Woog,500-749,0
113,Adam Woog,750-999,0
114,Adam Woog,>=1000,0
115,Adolfo Bioy Casares,<250,0
116,Adolfo Bioy Casares,250-499,1
117,Adolfo Bioy Casares,500-749,0
118,Adolfo Bioy Casares,750-999,0
119,Adolfo Bioy Casares,>=1000,0
120,Adrian Guelke,<250,0
121,Adrian Guelke,250-499,0
122,Adrian Guelke,500-749,1
123,Adrian Guelke,750-999,0
124,Adrian Guelke,>=1000,0
125,Adrian McKinty,<250,0
126,Adrian McKinty,250-499,1
127,Adrian McKinty,500-749,0
128,Adrian McKinty,750-999,0
129,Adrian McKinty,>=1000,0
130,Adèle Geras,<250,0
131,Adèle Geras,250-499,1
132,Adèle Geras,500-749,0
133,Adèle Geras,750-999,0
134,Adèle Geras,>=1000,0
135,Aeschylus,<250,1
136,Aeschylus,250-499,0
137,Aeschylus,500-749,0
138,Aeschylus,750-999,0
139,Aeschylus,>=1000,0
140,Aesop,<250,1
141,Aesop,250-499,0
142,Aesop,500-749,0
143,Aesop,750-999,0
144,Aesop,>=1000,0
145,Agatha Christie,<250,1
146,Agatha Christie,250-499,0
147,Agatha Christie,500-749,0
148,Agatha Christie,750-999,0
149,Agatha Christie,>=1000,0
150,Ai Morinaga,<250,0
151,Ai Morinaga,250-499,1
152,Ai Morinaga,500-749,0
153,Ai Morinaga,750-999,0
154,Ai Morinaga,>=1000,0
155,Aidan Hartley,<250,0
156,Aidan Hartley,250-499,1
157,Aidan Hartley,500-749,0
158,Aidan Hartley,750-999,0
159,Aidan Hartley,>=1000,0
160,Aimee Bender,<250,0
161,Aimee Bender,250-499,0
162,Aimee Bender,500-749,0
163,Aimee Bender,750-999,1
164,Aimee Bender,>=1000,0
165,Aimé Césaire,<250,0
166,Aimé Césaire,250-499,1
167,Aimé Césaire,500-749,0
168,Aimé Césaire,750-999,0
169,Aimé Césaire,>=1000,0
170,Akira Yoshida,<250,0
171,Akira Yoshida,250-499,1
172,Akira Yoshida,500-749,0
173,Akira Yoshida,750-999,0
174,Akira Yoshida,>=1000,0
175,Al Franken,<250,1
176,Al Franken,250-499,0
177,Al Franken,500-749,0
178,Al Franken,750-999,0
179,Al Franken,>=1000,0
180,Al Gore,<250,1
181,Al Gore,250-499,0
182,Al Gore,500-749,0
183,Al Gore,750-999,0
184,Al Gore,>=1000,0
185,Al Ries,<250,0
186,Al Ries,250-499,1
187,Al Ries,500-749,0
188,Al Ries,750-999,0
189,Al Ries,>=1000,0
190,Alain de Botton,<250,1
191,Alain de Botton,250-499,0
192,Alain de Botton,500-749,0
193,Alain de Botton,750-999,0
194,Alain de Botton,>=1000,0
195,Alan  Lee,<250,1
196,Alan  Lee,250-499,0
197,Alan  Lee,500-749,0
198,Alan  Lee,750-999,0
199,Alan  Lee,>=1000,0
200,Alan Aldridge,<250,0
201,Alan Aldridge,250-499,1
202,Alan Aldridge,500-749,0
203,Alan Aldridge,750-999,0
204,Alan Aldridge,>=1000,0
205,Alan Brennert,<250,0
206,Alan Brennert,250-499,1
207,Alan Brennert,500-749,0
208,Alan Brennert,750-999,0
209,Alan Brennert,>=1000,0
210,Alan Cohen,<250,0
211,Alan Cohen,250-499,1
212,Alan Cohen,500-749,0
213,Alan Cohen,750-999,0
214,Alan Cohen,>=1000,0
215,Alan Dean Foster,<250,0
216,Alan Dean Foster,250-499,1
217,Alan Dean Foster,500-749,0
218,Alan Dean Foster,750-999,0
219,Alan Dean Foster,>=1000,0
220,Alan Hausman,<250,1
221,Alan Hausman,250-499,0
222,Alan Hausman,500-749,0
223,Alan Hausman,750-999,0
224,Alan Hausman,>=1000,0
225,Alan Hollinghurst,<250,1
226,Alan Hollinghurst,250-499,0
227,Alan Hollinghurst,500-749,0
228,Alan Hollinghurst,750-999,0
229,Alan Hollinghurst,>=1000,0
230,Alan Lightman,<250,1
231,Alan Lightman,250-499,0
